"ref","part_number","part_name","description","parent","hierarchy","loc_x","loc_y","loc_z","rot_x","rot_y","rot_z"
"cnc_milled_top_cover_al:1","C-JAT-TC-AL-A","cnc_milled_top_cover_al","Top lid providing structural closure and mounting points for fan blowers","","cnc_milled_top_cover_al:1",0.0,0.0,-1.0,0.0,-0.0,0.0
"cnc_milled_front_panel:1","C-JAT-FP-AL-A","cnc_milled_front_panel","Front panel serving as primary air inlet and interface surface","","cnc_milled_front_panel:1",0.0,0.0,0.0,0.0,-0.0,0.0
"cnc_milled_bottom_shell_al:1","C-JAT-BS-AL-A","cnc_milled_bottom_shell_al","Main body with internal PCB mounting points and external enclosure mounting features","","cnc_milled_bottom_shell_al:1",1.54441473925049,0.229092285515584,1.55431223447522e-13,6.361109362927053e-15,3.180554681463515e-15,2.206953149025084e-31
"Raised Cheese Head Screw DIN 7985 - M4 x 8 - H Steel 4.6 Plain v1:1","DIN 7985 - M4x8-H H Steel 4.6 Plain","Raised Cheese Head Screw DIN 7985 - M4 x 8 - H Steel 4.6 Plain v1","Raised Cheese Head Screw DIN 7985 - M4 x 8 - H","","Raised Cheese Head Screw DIN 7985 - M4 x 8 - H Steel 4.6 Plain v1:1",240.430532,-59.71,33.141737532613,-1.5902773407317576e-15,-89.99999999999996,0.0
"Raised Cheese Head Screw DIN 7985 - M4 x 8 - H Steel 4.6 Plain v1:2","DIN 7985 - M4x8-H H Steel 4.6 Plain","Raised Cheese Head Screw DIN 7985 - M4 x 8 - H Steel 4.6 Plain v1","Raised Cheese Head Screw DIN 7985 - M4 x 8 - H","","Raised Cheese Head Screw DIN 7985 - M4 x 8 - H Steel 4.6 Plain v1:2",240.430532,-147.71,33.141737532613,-1.5902773407317576e-15,-89.99999999999996,0.0
"Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1:1","DIN EN ISO 7046-2 - M2.5x8 - H Steel 4.6 Plain","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H","","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1:1",64.0805320000001,-53.8220742607342,-9.23199999999998,3.180554681463521e-15,-89.99999999999999,0.0
"Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1:2","DIN EN ISO 7046-2 - M2.5x8 - H Steel 4.6 Plain","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H","","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1:2",64.0805320000001,-51.758734009822,30.8015000000008,3.180554681463522e-15,-89.99999999999999,0.0
"Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1:3","DIN EN ISO 7046-2 - M2.5x8 - H Steel 4.6 Plain","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H","","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1:3",64.0805320000001,-155.661265990178,30.8015000000008,3.1805546814634982e-15,-89.99999999999999,0.0
"Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1:4","DIN EN ISO 7046-2 - M2.5x8 - H Steel 4.6 Plain","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H","","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1:4",64.0805320000001,-153.597925739266,-9.23199999999999,8.348956037823481e-15,-89.99999999999999,0.0
"Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1:5","DIN EN ISO 7046-2 - M2.5x8 - H Steel 4.6 Plain","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H","","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1:5",235.780532,-153.597925739266,-9.23199999999998,-179.99999999999943,-89.99999999999999,0.0
